id,name
1,cpu0
2,cortex-m7
3,nvic0
4,0
5,16
6,cpu1
7,nvic1
8,1
9,true
10,cpu2
11,nvic2
12,2
13,cpu3
14,nvic3
15,3
16,0xE000E000
17,320000000
18,systickFrequency
19,dwt
20,itcm0
21,0x8000
22,0xE0001000
23,itcm1
24,sysbus
25,0x11400000
26,itcm2
27,0x11800000
28,0x00000000
29,program_flash
30,0x00400000
31,0x800000
32,data_flash
33,0x10000000
34,0x20000
35,utest
36,0x1B000000
37,0x2000
38,dtcm0
39,address
40,0x20000000
41,cpu
42,0x21000000
43,size
44,0x10000
45,dtcm1
46,dtcm3
47,sram
48,0xc0000
49,0x21C00000
50,0x20400000
51,quad_spi_flash
52,0x68000000
53,0x8000000
54,mscm
55,0x40260000
56,siul2
57,mc_me
58,swt0
59,0x40270000
60,nvic0@42
61,swt1
62,0x4046C000
63,nvic0@43
64,swt2
65,0x40470000
66,nvic0@44
67,swt3
68,0x40070000
69,nvic0@58
70,stm0
71,0x40274000
72,48_000_000
73,nvic0@39
74,Timers
75,48M
76,0x40474000
77,stm1
78,nvic0@40
79,stm2
80,nvic0@41
81,stm3
82,nvic0@57
83,pit0
84,12_000_000
85,pit1
86,oscillatorFrequency
87,pit2
88,pit3
89,0x40288000
90,0x40300000
91,nvic0@99
92,rtc
93,nvic0@102
94,lpi2c0
95,0x40350000
96,nvic0@161
97,lpi2c1
98,0x40354000
99,nvic0@162
100,lpspi0
101,0x40358000
102,nvic0@165
103,lpspi1
104,0x4035C000
105,nvic0@166
106,lpspi2
107,0x40360000
108,nvic0@167
109,lpspi3
110,0x40364000
111,nvic0@168
112,lpspi4
113,0x404BC000
114,nvic0@169
115,lpspi5
116,0x404C0000
117,nvic0@170
118,flex_io
119,0x40324000
120,48000000
121,nvic0@139
122,lpuart0
123,24000000
124,nvic0@141
125,lpuart1
126,nvic0@142
127,lpuart2
128,4
129,nvic0@143
130,lpuart3
131,nvic0@144
132,lpuart4
133,nvic0@145
134,lpuart5
135,nvic0@146
136,lpuart6
137,nvic0@147
138,lpuart7
139,nvic0@148
140,lpuart8
141,nvic0@149
142,lpuart9
143,nvic0@150
144,lpuart10
145,nvic0@151
146,lpuart11
147,nvic0@152
148,lpuart12
149,nvic0@153
150,lpuart13
151,nvic0@154
